"","date","lat","lon","altitude","azimuth"
"93",2021-01-02 22:00:00,40.16,-105.1,-1.01979639481265,1.98600015839509
"94",2021-01-02 22:30:00,40.16,-105.1,-1.10757613557888,2.15700193396668
"95",2021-01-02 23:00:00,40.16,-105.1,-1.18425395627271,2.38407120508649
"96",2021-01-02 23:30:00,40.16,-105.1,-1.24146831311542,2.68905123142845
"97",2021-01-03 00:00:00,40.16,-105.1,-1.26764429536271,3.06997230067493
"98",2021-01-03 00:30:00,40.16,-105.1,-1.25483880628499,-2.81714739792933
"99",2021-01-03 01:00:00,40.16,-105.1,-1.20719741086053,-2.48254546013488
"100",2021-01-03 01:30:00,40.16,-105.1,-1.13620463482303,-2.23014083955133
"101",2021-01-03 02:00:00,40.16,-105.1,-1.05161850335598,-2.0419497618074
"102",2021-01-03 02:30:00,40.16,-105.1,-0.959390934902745,-1.89634054962155
"103",2021-01-03 03:00:00,40.16,-105.1,-0.862897637448788,-1.77796140674179
"104",2021-01-03 03:30:00,40.16,-105.1,-0.764118656318385,-1.67702143619025
"105",2021-01-03 04:00:00,40.16,-105.1,-0.664307999572139,-1.58727824819635
"106",2021-01-03 04:30:00,40.16,-105.1,-0.564340713681637,-1.50460486408638
"107",2021-01-03 05:00:00,40.16,-105.1,-0.464896140405342,-1.42612903185214
"108",2021-01-03 05:30:00,40.16,-105.1,-0.36656077165233,-1.34973008166218
"109",2021-01-03 06:00:00,40.16,-105.1,-0.269891216075816,-1.2737407219708
"110",2021-01-03 06:30:00,40.16,-105.1,-0.175457143810602,-1.19676630880161
"111",2021-01-03 07:00:00,40.16,-105.1,-0.0838741411586955,-1.11757441433096
"112",2021-01-03 07:30:00,40.16,-105.1,0.00416874138869862,-1.03503049100947
"113",2021-01-03 08:00:00,40.16,-105.1,0.0878849713413372,-0.948068973622365
"114",2021-01-03 08:30:00,40.16,-105.1,0.166370714043354,-0.85569762523821
"115",2021-01-03 09:00:00,40.16,-105.1,0.238592460278969,-0.757038126411391
"116",2021-01-03 09:30:00,40.16,-105.1,0.303388149722126,-0.651407675030065
"117",2021-01-03 10:00:00,40.16,-105.1,0.359490581397557,-0.538442357647354
"118",2021-01-03 10:30:00,40.16,-105.1,0.405583039930479,-0.418250046889548
"119",2021-01-03 11:00:00,40.16,-105.1,0.440393751097803,-0.291557828727651
"120",2021-01-03 11:30:00,40.16,-105.1,0.46282539020505,-0.15979370520269
"121",2021-01-03 12:00:00,40.16,-105.1,0.472098812892447,-0.0250343647943635
"122",2021-01-03 12:30:00,40.16,-105.1,0.467873787086079,0.110216520876667
"123",2021-01-03 13:00:00,40.16,-105.1,0.450306691811177,0.243382283499416
"124",2021-01-03 13:30:00,40.16,-105.1,0.420023630179736,0.372191431640568
"125",2021-01-03 14:00:00,40.16,-105.1,0.378019179125088,0.494957829348927
"126",2021-01-03 14:30:00,40.16,-105.1,0.325516357731024,0.610695587651169
"127",2021-01-03 15:00:00,40.16,-105.1,0.263828329887491,0.719080336438003
"128",2021-01-03 15:30:00,40.16,-105.1,0.194249552103145,0.820318344162185
"129",2021-01-03 16:00:00,40.16,-105.1,0.117986002937498,0.914990130749301
"130",2021-01-03 16:30:00,40.16,-105.1,0.0361208126772141,1.00391362397112
"131",2021-01-03 17:00:00,40.16,-105.1,-0.0503940526664698,1.08804658764233
"132",2021-01-03 17:30:00,40.16,-105.1,-0.140729559127917,1.16843123326204
"133",2021-01-03 18:00:00,40.16,-105.1,-0.234162014146616,1.24617697358981
"134",2021-01-03 18:30:00,40.16,-105.1,-0.330050346420298,1.32247714501837
"135",2021-01-03 19:00:00,40.16,-105.1,-0.427809819896498,1.39865960570616
"136",2021-01-03 19:30:00,40.16,-105.1,-0.526881379189193,1.47627832710692
"137",2021-01-03 20:00:00,40.16,-105.1,-0.626693037437809,1.55726429161578
"138",2021-01-03 20:30:00,40.16,-105.1,-0.726605583358673,1.64417267413549
"139",2021-01-03 21:00:00,40.16,-105.1,-0.825827260228244,1.74059581059461
"140",2021-01-03 21:30:00,40.16,-105.1,-0.923266287726579,1.85186609575948
"141",2021-01-03 22:00:00,40.16,-105.1,-1.01725730883079,1.98624306978603
"142",2021-01-03 22:30:00,40.16,-105.1,-1.10503521544445,2.15673187938906
